Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h),price_pounds,Clusters
Mazda MX-30,30.0,140,170,176,210,31250.0,2
Polestar 4 Long Range Dual Motor,94.0,200,475,198,710,60000.0,0
Mercedes EQB 350 4MATIC,66.5,160,340,196,490,56810.0,2
MG Marvel R Performance,70.0,200,350,200,380,50830.0,2
Subaru Solterra AWD,64.0,160,320,200,480,49995.0,2
Audi Q4 e-tron 35,52.0,160,285,182,360,50830.0,2
Mercedes EQE 300,89.0,210,515,173,650,74345.0,0
NIO ET5 100 kWh,90.0,200,500,180,520,50830.0,0
Maxus MIFA 9,90.0,180,345,261,290,65290.0,1
Zeekr 001 Long Range RWD,94.0,200,530,177,740,50830.0,0
Honda e:Ny1,62.0,160,360,172,320,50830.0,2
Polestar 4 Long Range Single Motor,94.0,180,510,184,760,55000.0,0
Hyundai IONIQ 5 Standard Range 2WD,54.0,185,295,183,720,43445.0,2
Audi e-tron GT quattro,85.0,245,420,202,1030,87800.0,3
Hyundai Kona Electric 39 kWh,39.2,155,250,157,220,50830.0,2
Fisker Ocean One,106.5,205,530,201,630,60880.0,0
Audi Q8 e-tron Sportback 55 quattro,106.0,200,525,202,660,80300.0,0
Skoda Enyaq Coupe iV RS,77.0,180,435,177,600,54370.0,0
Volvo XC40 Recharge Single Motor ER,79.0,180,405,195,600,50830.0,0
Audi Q8 e-tron 50 quattro,89.0,200,420,212,650,67800.0,0
BMW iX1 eDrive20,64.7,170,385,168,550,44560.0,2
Smart #1 Brabus,62.0,180,315,197,490,43450.0,2
Volkswagen ID.3 Pro S - 4 Seats,77.0,160,455,169,680,42870.0,0
Zeekr X Privilege AWD,64.0,180,350,183,520,50830.0,2
Peugeot e-308,50.8,170,300,169,450,37000.0,2
Mercedes EQS SUV 580 4MATIC,108.4,210,485,224,630,139470.0,3
Nissan Leaf e+,59.0,157,340,174,240,34945.0,2
Mercedes EQE SUV 350+,90.6,210,450,201,670,50830.0,0
Audi Q4 e-tron 50 quattro,76.6,180,385,199,550,57010.0,0
MG Marvel R,70.0,200,365,192,400,50830.0,0
Volkswagen ID.4 GTX,77.0,180,400,193,560,52865.0,0
Mercedes EQB 300 4MATIC,66.5,160,340,196,490,55310.0,2
Fiat 600e,50.8,150,305,167,490,31000.0,2
XPENG P7 Wing Edition,82.7,200,465,178,650,50830.0,0
Dacia Spring Electric 65 Extreme,25.0,125,160,156,170,50830.0,2
Skoda Enyaq Coupe iV 80,77.0,160,465,166,720,44825.0,0
Mercedes EQV 300 Long,90.0,160,310,290,310,87995.0,1
Mercedes EQB 250+,70.5,160,415,170,560,50830.0,0
Polestar 3 Long Range Dual motor,107.0,210,490,218,640,79900.0,3
Fisker Ocean Sport,75.0,160,380,197,480,35970.0,2
Toyota bZ4X AWD,64.0,160,315,203,470,52510.0,2
XPENG G9 RWD Standard Range,75.0,200,375,200,780,50830.0,0
Volvo XC40 Recharge Single Motor,66.0,180,345,191,420,46505.0,2
MG ZS EV Standard Range,49.0,175,265,185,250,30495.0,2
Skoda Enyaq iV 80x,77.0,160,425,181,590,50805.0,0
Smart #3,62.0,180,355,175,550,37000.0,2
Mini Cooper SE,49.0,170,310,158,440,34500.0,2
Polestar 2 Long Range Dual Motor,79.0,205,440,180,660,52950.0,0
Citroen e-C4 X,46.3,150,275,168,440,31995.0,2
Ford Mustang Mach-E ER RWD,91.0,180,480,190,420,59380.0,0
Hyundai IONIQ 6 Standard Range 2WD,54.0,185,365,148,900,50830.0,0
NIO ET7 75 kWh,70.5,200,400,176,540,50830.0,0
Renault Megane E-Tech EV60 130hp,60.0,150,380,158,530,50830.0,2
Polestar 2 Standard Range Single Motor,67.0,205,390,172,460,44950.0,0
SsangYong Korando e-Motion,56.0,156,290,193,330,50830.0,2
Kia EV9 99.8 kWh RWD,95.0,185,445,213,810,64995.0,0
Mercedes EQA 250,66.5,160,395,168,570,50830.0,2
BYD DOLPHIN 44.9 kWh Boost,44.9,160,255,176,260,28500.0,2
Peugeot e-2008 54 kWh,50.8,150,300,169,480,36350.0,2
Hongqi E-HS9 84 kWh,76.5,200,320,239,440,50830.0,1
Fisker Ocean Extreme,106.5,205,530,201,630,60880.0,0
BMW i5 M60 xDrive Sedan,81.2,230,425,191,630,97745.0,3
Jaguar I-Pace EV400,84.7,200,380,223,360,69995.0,0
